index,tm,num_atms,r2extent,edmn,eqmn,total_energy,hlg,cpe,cce,cde,cre,ctne,smd
43,381.15,16,1562.9553,4.050187469,11.41375876,-342.969438,0.22449,-11.59,19.18,-14.51,1.2,5.87,1.9
44,367.15,29,6669.4923,5.864510756,25.91729466,-782.5733005,0.17985,-10.38,33.51,-23.41,1.82,11.91,9.15
45,525.15,21,3258.9897,6.66742854,22.93924577,-723.6553976,0.15454,-16.47,26.29,-19.92,1.52,7.88,6.68
46,356.25,46,7975.8023,1.310833956,9.871122265,-606.9632031,0.30789,-5.05,44.98,-30.7,2.56,16.85,5.06
47,353.15,55,11878.149,5.241934717,10.24331863,-1277.871193,0.16302,-19.66,53.57,-36,2.68,20.25,6.07
48,445.15,28,3671.5267,4.739779832,21.1499818,-707.4525104,0.22248,-18.67,30.77,-21.32,1.68,11.13,6.53
49,324.15,26,4779.9646,2.707654908,18.70628574,-669.0924429,0.15709,-11.48,31.77,-22.28,1.76,11.24,7.76
50,270.15,11,781.8097,1.484757418,4.29628196,-231.1804701,0.29877,-7.25,15.35,-10.68,0.96,5.63,4.35
51,295.15,28,4532.8112,4.302462073,21.68035371,-653.2570714,0.18174,-9.29,31.93,-22.06,1.77,11.64,7.17
52,536.15,31,6450.4141,3.883399987,16.49859064,-1484.721625,0.14719,-16.74,38.11,-26.7,2,13.41,4.39
53,393.15,30,4949.1256,3.864802925,16.8180829,-1031.625026,0.20497,-12.23,34.93,-24.93,1.93,11.93,7.07
54,461.15,14,1472.731,5.044710042,19.05131315,-504.1520015,0.15544,-25.16,20.5,-14.97,1.18,6.71,-0.02
55,399.15,27,7858.5507,5.124528174,6.895391665,-3315.148813,0.17827,-14.32,34.52,-24.95,1.95,11.51,6.94
56,238.15,22,1692.0957,0.184656952,6.614451716,-388.2912991,0.19031,-4.27,24.92,-17.91,1.44,8.45,4.95
57,165.15,27,1758.1109,0.081523371,0.536383212,-353.8269726,0.37365,-0.64,26.36,-19.26,1.6,8.71,3.53
58,495.15,37,10742.0083,8.192058309,24.73470079,-2150.386762,0.18549,-31.77,43.18,-31.73,2.34,13.79,4.32
59,362.65,15,1343.705,5.556426028,12.20502587,-685.7918936,0.14479,-15.14,19.94,-15.43,1.21,5.71,2.96
60,249.15,35,5117.7782,1.517721414,11.60076492,-732.1643719,0.26901,-10.52,37.24,-25.49,2.1,13.85,7.79
61,279.05,38,7144.6682,2.553877464,13.12247791,-771.4787327,0.27665,-11.97,40.86,-27.64,2.27,15.49,8.5
62,402.15,25,2751.6266,3.711832558,16.80735269,-518.9063779,0.20833,-10.63,28.08,-20.04,1.61,9.65,5.87
63,302.15,22,6129.5468,3.023664389,8.362838846,-1382.493755,0.19411,-5.99,30.02,-22.19,1.74,9.57,4.3
64,309.15,18,3377.2729,2.963728626,7.97051188,-1305.072634,0.17044,-4.86,25.14,-19.2,1.49,7.43,3.52
65,336.65,18,4454.7515,2.991413378,5.865069004,-1305.077335,0.16915,-4.88,25.47,-19.32,1.51,7.66,3.52
66,436.15,35,7113.2074,5.10733625,20.32664043,-1434.520682,0.18078,-13.99,40.97,-28.34,2.12,14.75,6.23
67,362.15,18,3976.1068,3.299778918,11.45000579,-1305.06211,0.1632,-5.8,24.92,-19.12,1.48,7.28,3.5
68,381.15,19,4657.6536,3.534898666,8.881617606,-1380.289711,0.15994,-9.63,26.3,-20.2,1.57,7.67,3.99
69,366.65,26,4198.2917,1.040975317,19.77825382,-574.0264956,0.17934,-14.25,29.6,-21.85,1.72,9.48,4.67
70,265.3,34,3630.4456,0.947250854,3.335203439,-449.6937572,0.27796,-3.69,33.82,-23.49,1.97,12.29,3.03
71,264.15,38,7582.2316,3.960708931,17.88394044,-771.4628824,0.22393,-11.14,40.84,-28.13,2.28,14.99,9.03
72,262.15,33,3754.5601,1.481956939,7.788934905,-469.5704938,0.3309,-5.68,33.06,-22.82,1.91,12.15,4.93
73,438.15,17,3320.9163,2.88358703,15.91149713,-956.6123502,0.16356,-10.6,23.79,-18.02,1.41,7.19,4.96
74,307.15,22,3108.0467,1.667024649,9.714699614,-922.8982373,0.20424,-5.47,27.47,-20.12,1.59,8.94,4.25
75,193.15,21,2220.7784,1.644504086,6.373125189,-424.4193837,0.2659,-6.65,24.73,-17.66,1.5,8.58,5.89
76,288.15,23,2689.4027,1.794105696,2.231679123,-480.5360562,0.19756,-7.35,26.41,-19.06,1.51,8.85,4.93
77,573.15,16,4586.5049,0.352467233,10.9292148,-2351.423993,0.16726,-11.64,28.53,-21.68,1.67,8.52,5.18
78,325.15,22,4858.6986,2.749563553,8.375622081,-3034.122632,0.16716,-4.81,26.78,-20.7,1.61,7.69,2.6
79,267.25,28,3423.2893,1.210637663,12.17864873,-653.3085622,0.18192,-8.14,30.79,-21.87,1.73,10.65,6.16
80,484.15,15,1676.3363,6.316456628,22.61524728,-664.9575381,0.20497,-17.42,18.97,-15.28,1.26,4.94,0.67
81,392.15,41,9163.7317,0.800283668,12.7158412,-1719.380089,0.15285,-10.3,45.19,-31.9,2.38,15.67,2.25
82,489.15,63,17152.3675,0.461708241,25.14797906,-1523.642736,0.18851,-17.21,63.99,-39.76,2.91,27.14,10.33
83,518.15,22,2702.7149,1.099555101,6.78956998,-574.6448036,0.21441,-9.67,26.32,-18.86,1.54,9,6.38
84,413.15,18,3565.4702,0,13.5621866,-1305.078732,0.17112,-5.19,25.81,-19.54,1.53,7.81,3.53
85,367.65,9,1992.1905,2.498270262,8.332068593,-2796.999434,0.24568,-9.09,15.6,-12.41,1.08,4.27,1.27
86,291.15,31,2967.8515,1.640724017,6.357635406,-543.3705445,0.21844,-6.53,31.39,-22.37,1.77,10.8,5.6
87,217.05,31,4392.6553,3.269999341,9.605436957,-617.6243597,0.24575,-9.85,34.02,-23.13,1.93,12.81,6.9
88,513.15,40,8031.8859,3.63219697,22.73330215,-1296.136116,0.17107,-16.67,41.19,-29.68,2.15,13.66,6.99
89,297.85,61,17778.9881,3.92450336,21.99611742,-1010.773858,0.24284,-10.89,61.18,-40.72,3.34,23.8,9.85
90,499.15,34,5147.8951,1.891740915,16.475003,-769.0171004,0.22663,-12.1,38.58,-24.61,1.91,15.89,9.63
91,104.15,18,1223.3789,1.842971042,6.339817893,-595.9669837,0.26339,-4.08,21.21,-15.94,1.33,6.6,3.05
92,388.15,48,6113.0398,0,1.510342372,-704.0291851,0.33442,-0.75,40.8,-29.58,2.24,13.46,4.22
93,389.15,38,4970.3757,0.949378265,27.57062659,-764.4697905,0.18247,-12.38,39.15,-25.6,2.03,15.58,6.7
94,442.15,31,4346.1308,1.871880562,10.36017368,-1048.896362,0.16131,-13.71,32.99,-23.77,1.81,11.03,5.46
95,309.15,35,8970.5825,6.310816267,29.25347356,-1637.072306,0.15983,-14.21,43.71,-29.74,2.26,16.22,9.66
96,262.15,14,2382.7499,3.183169912,7.113013392,-734.4204794,0.17664,-7.88,21.33,-15.39,1.15,7.1,7.48
97,226.15,18,1667.8682,2.903944523,5.016823983,-1155.062488,0.28234,-4.18,21.98,-16.87,1.39,6.5,2.37
98,394.15,29,3618.1924,3.623949935,19.44420333,-671.3205006,0.19443,-12.19,32.42,-22.41,1.75,11.77,6.71
99,376.15,14,1596.5295,3.160350256,15.90886384,-821.449852,0.27558,-13.93,19.41,-14.88,1.27,5.79,3.17
100,445.15,13,1300.7869,4.382627014,10.0112843,-697.0328582,0.18935,-23.09,18.62,-14.66,1.21,5.17,1.65
101,348.65,13,1512.3188,4.005433527,6.49438538,-783.3527576,0.30082,-11.38,18.94,-14.32,1.26,5.89,4.32
102,270.15,27,3397.2222,1.843211106,8.225943305,-557.9746251,0.21379,-9.17,30.66,-21.15,1.68,11.19,3.49
103,361.65,30,4573.662,1.725110559,13.54937412,-692.404769,0.17404,-10,33.58,-23.6,1.85,11.83,6.38
104,540.15,38,13266.4372,4.876659422,26.34516101,-1737.252924,0.19002,-23.33,42.7,-31.25,2.35,13.8,5.8
105,386.15,28,3817.1476,3.970240926,13.42275087,-919.8249322,0.21964,-15.25,32.77,-23.22,1.78,11.33,6.96
