,tm,num_atms,r2extent,edmn,eqmn,total_energy,hlg,cpe,cce,cde,cre,ctne,smd
40,495.15,41.0,14102.3365,9.05896095642,18.1571667192,-2140.94112735,0.17715,-32.75,47.87,-34.19,2.43,16.11,6.03
41,529.15,38.0,9884.6866,5.08987047772,32.038468189,-1849.35571143,0.18626,-28.59,44.33,-30.41,2.29,16.21,8.22
42,504.15,33.0,5410.874,2.77964990242,11.9497617692,-785.872246795,0.15309,-10.87,35.86,-25.65,1.97,12.18,7.05
43,543.15,39.0,4649.9391,1.62701650268,9.62559868268,-789.457915773,0.20459,-9.17,38.76,-26.34,2.05,14.46,6.16
44,423.15,40.0,5155.3505,3.32347694742,9.56028755948,-769.595677152,0.19037,-13.08,39.02,-26.67,2.04,14.4,5.3
45,446.15,42.0,9260.0877,2.30100815296,21.6918334108,-865.89109827,0.16822,-10.26,44.06,-30.48,2.4,15.99,6.8
46,561.15,35.0,11036.8051,7.50705502378,15.0299038433,-1007.49008122,0.16386,-29.24,41.11,-29.84,2.27,13.54,7.01
47,509.15,35.0,6919.9963,4.82001674997,20.1784934616,-1317.70301812,0.1023,-19.57,40.46,-28.16,2.19,14.49,3.26
48,481.15,43.0,8955.5552,3.43514387617,22.3266973644,-1484.48684268,0.19301,-23.94,46.02,-31.02,2.31,17.3,6.43
49,413.15,43.0,11308.4964,4.16754821568,33.3007014788,-1484.45464687,0.17981,-25.32,47.05,-33.08,2.49,16.46,7.21
50,476.15,40.0,9162.1436,1.89585319316,8.87979054708,-1627.12892941,0.17298,-9.14,44.23,-31.07,2.33,15.5,3.84
51,332.15,43.0,8345.404,4.63107490114,17.5000566445,-1016.04473213,0.20968,-16.35,43.15,-30.29,2.34,15.21,5.0
52,531.15,38.0,6271.5627,1.33322734745,22.5811959548,-847.237262045,0.16571,-14.24,37.96,-27.34,2.03,12.65,6.11
53,460.15,42.0,6822.605,2.24216062092,11.3314379913,-849.633136648,0.2053,-14.51,42.86,-28.54,2.25,16.57,7.73
54,443.15,43.0,15990.7282,4.32341682469,13.9060420606,-1604.8683617,0.15097,-17.85,49.15,-34.86,2.65,16.94,6.81
55,389.15,42.0,9193.6389,4.55765655793,16.119033409,-1070.03468981,0.18796,-18.49,46.02,-30.51,2.37,17.87,9.31
56,448.15,45.0,7498.6146,0.667753442522,6.6388857175,-847.979545989,0.18861,-7.88,44.52,-30.53,2.35,16.34,4.2
57,400.15,51.0,7973.4299,2.10413346772,26.9476226235,-1215.45066885,0.21811,-10.75,43.37,-31.62,2.26,14.0,4.56
58,458.15,51.0,6898.3057,2.81999427127,19.621342252,-892.560302601,0.21739,-12.07,43.65,-30.4,2.26,15.51,6.23
59,454.15,51.0,6750.0036,2.5780556821,24.0935102015,-892.54753625,0.22228,-12.71,43.26,-30.4,2.25,15.11,6.1
60,501.15,49.0,15467.4295,3.07939510456,7.50843555676,-1799.20426159,0.17366,-11.74,51.44,-36.07,2.68,18.05,1.85
61,387.15,48.0,8908.0554,1.24960319302,5.58211001146,-982.401029882,0.18681,-10.81,49.6,-32.1,2.52,20.03,7.26
62,432.15,50.0,7678.9287,3.18214009748,13.9004153528,-1037.71869004,0.19689,-17.52,44.29,-31.84,2.33,14.77,2.59
63,443.15,45.0,9621.644,1.67025824949,15.8369444755,-1167.33123388,0.14989,-18.19,48.95,-31.83,2.44,19.55,10.4
64,405.15,49.0,12145.3762,6.40784834636,29.2780061901,-1318.91917622,0.16622,-20.6,49.2,-34.77,2.59,17.01,8.63
65,542.15,55.0,11359.4425,5.57201477564,41.2777838842,-1367.62975599,0.17189,-25.54,47.67,-34.04,2.44,16.07,8.54
66,542.15,51.0,7994.3965,5.3344108925,23.5235073758,-967.477001594,0.18511,-14.88,45.78,-31.14,2.28,16.92,8.54
67,466.15,55.0,9453.7419,4.0603297871,15.1106477608,-969.966607009,0.21776,-12.65,46.84,-32.78,2.41,16.48,7.12
68,449.15,53.0,13744.2413,1.97278449406,10.3825715938,-1433.44894793,0.1587,-15.7,52.89,-36.38,2.7,19.21,11.59
69,393.15,57.0,10831.3182,2.88141856383,53.6206872276,-1083.30992086,0.1836,-15.2,50.18,-34.37,2.55,18.36,8.58
70,451.15,55.0,11446.7811,2.01460269284,18.464024609,-1302.40690412,0.18701,-16.06,49.74,-35.68,2.6,16.66,6.38
71,441.15,55.0,11521.3569,5.34372909774,42.7790616108,-1653.77724685,0.16369,-19.61,51.9,-34.21,2.52,20.21,9.78
72,417.15,57.0,9875.0392,2.04783159952,49.3777958829,-1046.15866634,0.1687,-16.03,49.05,-33.68,2.44,17.81,8.53
73,311.15,52.0,12050.6445,1.5340385295,6.46317801936,-985.583115676,0.20595,-10.61,53.16,-34.97,2.7,20.9,7.5
74,566.15,62.0,14866.2654,5.41239599623,41.9268220388,-1484.38254369,0.17646,-24.19,54.98,-37.09,2.67,20.56,9.63
75,441.15,73.0,21971.6931,7.34604874473,47.8661204513,-1504.31054937,0.17551,-21.38,62.58,-42.68,3.08,22.98,11.0
76,483.15,25.0,3450.9201,2.03175618616,13.6648180965,-685.17539633,0.1884,-13.25,28.33,-21.24,1.64,8.73,3.07
77,404.15,33.0,5518.4849,5.0013575817,21.2369140995,-1162.13443955,0.22084,-21.62,37.28,-26.27,2.05,13.06,5.54
78,506.15,68.0,18413.4382,5.35422535387,41.0505288681,-1463.78679949,0.17854,-27.75,61.62,-40.72,2.99,23.89,11.29
79,508.15,52.0,10544.2957,3.86170211953,40.7830593599,-1059.68372737,0.17464,-14.95,47.58,-32.3,2.34,17.62,8.1
80,520.15,33.0,5572.717,3.22288176947,19.8953643108,-947.484557751,0.18817,-25.14,35.07,-25.67,1.97,11.37,2.65
81,511.15,29.0,8335.6289,2.11915206392,20.1993178622,-3350.39725942,0.16366,-15.3,35.75,-26.13,2.01,11.64,2.48
82,519.15,45.0,14569.0753,10.4678131417,52.6413029933,-1515.3488296,0.15791,-22.57,50.51,-34.46,2.52,18.57,8.87
83,421.15,41.0,8579.4175,8.18126349655,30.9411546611,-935.973454704,0.13502,-18.99,42.6,-29.77,2.31,15.15,7.14
84,507.15,35.0,8577.0874,5.80041929605,32.7762666466,-1794.39864178,0.17546,-21.54,42.47,-29.33,2.24,15.38,1.9
85,416.15,38.0,11020.937,5.50630899696,17.5379035725,-1029.78484057,0.19443,-19.94,43.51,-30.7,2.36,15.16,10.18
86,538.15,34.0,5171.3411,2.32886996417,13.4699851065,-874.249626864,0.16427,-14.76,36.89,-26.0,1.99,12.88,4.16
87,434.15,40.0,11960.0583,8.05701486966,33.8423304995,-1867.56085499,0.15217,-27.27,46.89,-32.34,2.42,16.98,7.94
88,484.15,55.0,23238.9361,5.03819780874,21.5057969838,-2181.52605904,0.10517,-14.01,61.55,-41.72,3.15,22.97,6.21
89,462.15,31.0,5643.3867,6.79627431245,16.6315877567,-909.077337947,0.16557,-22.37,36.16,-24.92,1.93,13.17,7.25
90,370.15,57.0,10157.376,4.08538896679,10.6681267686,-1514.52552834,0.19291,-16.77,55.72,-34.91,2.6,23.42,8.64
91,415.15,42.0,10700.7634,4.27511843228,22.3878720396,-958.6905366,0.1843,-14.4,45.73,-31.4,2.36,16.69,6.29
92,455.15,44.0,11048.2269,3.05919638794,17.1161787695,-1186.75615381,0.1813,-22.86,45.69,-32.06,2.42,16.05,7.62
93,623.15,14.0,1449.4043,2.21428628908,8.05258935126,-487.151327484,0.20333,-16.81,18.9,-14.69,1.18,5.38,-0.27
94,550.15,45.0,13750.0524,5.86626927698,36.5399444098,-2177.42620499,0.16376,-35.87,55.23,-34.95,2.63,22.92,8.15
95,378.15,38.0,6232.1996,5.90398244577,22.3350385037,-950.963947191,0.18669,-19.92,40.61,-27.48,2.11,15.24,7.21
96,534.15,56.0,10136.4853,5.12248857295,28.4398444192,-1293.63587717,0.17305,-22.99,48.43,-33.8,2.45,17.08,8.55
97,457.15,42.0,13955.5065,4.3986814979,33.7124661434,-1496.02528193,0.13478,-21.52,48.25,-33.52,2.47,17.2,9.0
98,349.15,30.0,2332.5408,3.22427407334,14.1780706773,-596.534956267,0.21286,-13.48,29.86,-20.9,1.65,10.6,5.48
99,397.15,44.0,9508.871,2.99735680392,18.5319032366,-1071.24205477,0.18124,-17.88,46.83,-32.05,2.47,17.25,9.05
100,340.15,57.0,13845.5908,3.42063505946,32.2663380319,-1157.51495993,0.19843,-21.23,56.33,-36.09,2.84,23.08,9.4
101,446.15,50.0,9367.5098,3.38370640127,16.4888773226,-1244.94755509,0.20706,-17.94,49.15,-33.67,2.55,18.03,8.56
102,498.15,31.0,8978.6566,9.20321767916,16.2302633614,-2531.34327926,0.18561,-31.09,39.57,-29.59,2.18,12.16,3.25
103,446.15,43.0,8237.2566,6.96879872431,18.1848804063,-1219.40826757,0.14186,-24.86,45.66,-30.61,2.33,17.39,12.61
104,431.15,60.0,23614.4262,2.19025766977,39.5185711952,-1504.70606793,0.15252,-25.84,61.27,-41.67,3.17,22.77,10.36
105,346.15,51.0,13698.3742,2.21392439121,8.76966045694,-1721.77323681,0.16568,-10.18,52.66,-37.04,2.75,18.37,5.72
106,517.15,26.0,5174.8755,4.6207339298,31.9026113195,-1278.95547848,0.15736,-23.57,33.05,-24.01,1.76,10.8,1.62
107,371.15,30.0,10752.9795,6.69470001195,37.6082448051,-1487.33095305,0.17548,-16.32,36.45,-26.3,2.02,12.16,4.15
108,569.15,13.0,1464.7707,5.13641316387,28.222442991,-494.15531625,0.18746,-21.29,18.21,-13.91,1.14,5.44,3.35
109,429.15,13.0,1116.1669,2.41433882668,9.67728827048,-377.813005262,0.23189,-13.32,16.58,-12.77,1.11,4.92,3.38
110,393.15,33.0,5005.8371,1.97005479619,15.361110675,-802.908091092,0.18545,-12.37,36.16,-25.32,1.91,12.75,5.42
111,323.15,45.0,6616.44,0.941820795056,16.9317516941,-921.522823113,0.29071,-17.57,46.0,-29.6,2.37,18.77,9.01
112,366.15,32.0,5491.3681,3.57119127883,18.1984378406,-859.067357066,0.23025,-16.78,36.44,-24.79,1.99,13.64,8.15
113,633.15,42.0,7219.5504,2.17381971194,36.920176726,-1177.52755386,0.10824,-26.19,43.94,-29.8,2.29,16.43,5.84
114,543.15,28.0,9883.2535,5.46865143614,39.6133600788,-2951.60020144,0.18969,-39.56,39.51,-29.37,2.18,12.32,3.35
115,448.15,29.0,5729.6926,3.86595303774,12.1736407134,-832.96892565,0.20836,-19.23,32.7,-23.79,1.83,10.75,1.02
116,430.15,30.0,7112.9069,0.460511259363,16.1195657448,-1665.72388313,0.18178,-12.13,37.5,-26.03,2.0,13.48,6.62
117,385.15,29.0,7403.5004,4.90929384841,20.2495648729,-1685.57472641,0.19537,-14.74,37.71,-26.01,2.01,13.71,6.96
118,440.15,54.0,9949.5513,2.17686704693,47.5734690003,-1193.19342362,0.18705,-24.01,48.13,-33.33,2.44,17.25,8.68
119,504.15,45.0,10647.5488,7.51860497566,18.2698622168,-1543.61301131,0.16133,-26.52,49.89,-32.92,2.52,19.49,8.76
120,440.15,31.0,3749.9949,1.43281580812,8.30480078027,-725.947704051,0.21654,-14.55,31.68,-22.19,1.73,11.22,7.4
121,510.15,32.0,7136.8869,2.57587294135,37.0727925038,-1427.63863352,0.15579,-20.91,39.28,-27.18,2.08,14.18,6.73
122,454.15,55.0,10521.7642,2.0718744822,37.579498176,-1119.19986979,0.18721,-20.91,48.45,-33.54,2.46,17.37,7.98
123,408.15,35.0,9211.2384,3.59713149051,16.9898734142,-1276.27827422,0.2059,-16.79,40.87,-29.71,2.22,13.37,5.62
124,421.15,24.0,3788.9665,6.24772106452,19.8030886152,-762.95572138,0.15023,-14.61,28.82,-21.54,1.64,8.92,7.54
125,498.15,32.0,6364.834,1.38076031953,36.6524416155,-968.055887506,0.15226,-18.99,37.05,-26.28,2.0,12.77,6.6
126,435.15,53.0,10777.0193,5.62860108553,27.146008677,-1080.8393168,0.18639,-17.04,49.2,-33.39,2.48,18.29,9.63
127,420.15,54.0,11017.7334,1.81518456637,30.8845837795,-1044.0089526,0.21716,-13.09,48.4,-33.26,2.47,17.62,8.53
128,527.15,66.0,22760.3157,3.83187974107,43.7365201825,-1798.96172047,0.18951,-27.68,68.63,-44.5,3.36,27.5,14.87
129,465.15,24.0,3671.9944,4.90346009365,37.4659482167,-1040.36607479,0.2012,-27.92,29.69,-22.51,1.76,8.94,3.8
130,382.15,32.0,3567.5469,0.74276837574,6.83066621787,-764.023730859,0.214,-15.15,33.08,-22.85,1.77,12.0,8.06
131,466.15,44.0,6650.2583,1.25636750197,10.8741005577,-1017.01420695,0.16769,-11.41,42.71,-30.25,2.27,14.73,6.59
132,403.15,34.0,4955.9267,1.99149481546,8.82462530196,-1088.20788695,0.16093,-13.74,35.19,-25.22,1.91,11.88,5.63
133,398.15,26.0,2436.6142,4.34884772095,11.529605018,-464.970502408,0.27413,-12.27,27.49,-19.27,1.61,9.83,5.34
134,293.15,23.0,6423.2112,2.51860979113,9.18821884154,-3109.31645261,0.20465,-6.66,29.67,-21.74,1.72,9.64,4.17
135,293.15,23.0,6539.9883,2.70125093244,4.29881983921,-3109.31926444,0.20591,-5.81,29.87,-22.16,1.75,9.45,4.13
136,293.15,23.0,8301.3902,2.92519501743,4.77399838919,-5680.11667085,0.19735,-6.51,32.49,-24.07,1.9,10.32,3.46
137,293.15,23.0,8466.1984,2.47595001161,8.56001708117,-5680.11750718,0.19891,-6.97,32.49,-24.07,1.9,10.32,3.46
138,293.15,23.0,10434.9311,3.40071541297,7.30263355646,-5680.11537596,0.1983,-6.22,32.31,-24.23,1.9,9.97,3.52
139,293.15,23.0,10603.5728,1.3257017651,12.4484736378,-5680.12023174,0.19959,-6.32,32.67,-24.53,1.93,10.07,3.43
140,293.15,23.0,10042.957,3.44953933301,6.2626168556,-8250.91454022,0.19762,-7.7,35.16,-25.7,2.03,11.49,2.78
141,293.15,23.0,12022.0487,2.15088276296,6.73305320341,-8250.91745319,0.19741,-6.81,35.27,-26.16,2.07,11.18,2.75
142,337.35,23.0,12817.3784,1.05446014624,8.49091889256,-8250.91735308,0.1935,-7.03,35.29,-26.4,2.08,10.97,2.75
143,358.65,23.0,10963.0614,0.951436235383,3.9692926914,-8250.91213016,0.19034,-6.48,34.83,-25.35,2.0,11.48,2.76
144,293.15,23.0,9799.9261,2.87953151398,14.2582444821,-8250.9136251,0.19851,-7.17,34.97,-25.78,2.04,11.22,2.85
145,293.15,23.0,10670.5971,2.58492039336,10.055848549,-8250.91614279,0.1983,-6.68,35.08,-26.14,2.06,11.01,2.82
146,321.65,23.0,14640.9532,1.27767198842,11.5868393913,-8250.91607321,0.19438,-6.87,35.1,-26.6,2.08,10.58,2.81
147,351.95,23.0,15846.7453,1.73471946147,5.88882314389,-10821.7141476,0.19298,-7.69,37.92,-28.02,2.21,12.11,2.07
148,293.15,23.0,13042.4011,1.64586278286,7.23964215483,-10821.7144345,0.19601,-7.52,37.93,-27.8,2.21,12.33,2.07
149,369.65,23.0,10293.2052,2.04020805312,11.6946940268,-10821.705083,0.20264,-6.78,36.74,-26.71,2.07,12.1,2.12
150,293.15,23.0,16476.0793,1.65293188607,9.33498346222,-10821.7130702,0.19308,-7.46,37.72,-28.4,2.23,11.55,2.14
151,407.15,23.0,15184.5934,4.43997966099,2.64393488384,-10821.7105595,0.1943,-7.68,37.25,-27.39,2.15,12.01,2.15
152,408.15,23.0,14229.2821,1.45848910178,8.24065780809,-10821.7131525,0.18471,-6.8,37.64,-27.68,2.18,12.15,2.06
153,367.65,23.0,15953.6923,2.36137671073,12.8556273013,-10821.7117722,0.19386,-7.25,37.5,-28.18,2.21,11.53,2.2
154,393.15,23.0,17585.8138,2.27316320136,5.97631490051,-13392.5044092,0.19003,-8.19,39.88,-29.74,2.32,12.47,1.56
155,370.65,23.0,15554.505,0.851300287795,4.74161872255,-13392.5039157,0.19425,-6.16,39.54,-28.92,2.26,12.88,1.42
156,473.15,23.0,16453.8352,1.38009563074,3.41821499909,-13392.4901007,0.16555,-6.09,38.56,-28.72,2.22,12.06,1.76
157,359.65,23.0,18345.8926,2.65883611003,7.66697270831,-13392.5090267,0.18767,-7.12,40.06,-29.64,2.33,12.74,1.44
158,456.15,23.0,22987.5183,2.16362438977,7.71055643323,-15963.2945882,0.18788,-8.67,41.82,-31.46,2.43,12.79,1.04
159,453.15,23.0,20222.4111,3.00739148599,6.34161111312,-15963.3003193,0.1885,-7.9,42.13,-30.93,2.42,13.61,0.86
160,435.15,23.0,20145.3098,0.0633757840188,5.45192159885,-15963.2985059,0.19757,-5.92,41.99,-31.06,2.41,13.34,0.82
161,405.15,23.0,18170.705,0.993104480908,2.61182415947,-15963.2991829,0.19404,-6.04,41.96,-30.78,2.4,13.58,0.8
162,457.15,23.0,19799.3836,0.699320827661,8.79166753182,-15963.2909052,0.16027,-6.54,41.37,-31.03,2.4,12.75,1.05
163,429.15,23.0,23213.7568,1.09921123084,4.52553700681,-18534.081246,0.17023,-5.89,43.29,-32.09,2.46,13.65,0.43
164,445.15,23.0,20399.2421,1.35327556691,7.32308448401,-18534.0951305,0.17722,-7.11,44.53,-32.52,2.55,14.56,0.24
165,470.15,23.0,22545.7606,1.5004013863,10.1009678497,-18534.0867362,0.16387,-6.74,43.77,-32.63,2.54,13.68,0.44
166,479.15,23.0,25363.1855,1.08315008655,3.46834439899,-21104.8786675,0.18188,-6.26,45.73,-33.56,2.57,14.75,-0.24
167,355.15,23.0,16034.9863,1.69706049391,5.44178985537,-13392.509559,0.19266,-7.36,40.27,-29.6,2.34,13.02,1.46
168,350.35,23.0,8955.2324,3.19488778207,12.0953507055,-8250.91452656,0.19147,-7.43,34.84,-25.42,2.0,11.42,2.76
169,293.15,23.0,5210.5265,1.94165614103,11.5264263625,-5680.11324226,0.19674,-7.27,32.03,-23.1,1.82,10.75,3.47
170,378.15,43.0,8802.4468,4.5431507349,14.5536170033,-1322.62712037,0.21919,-13.78,44.1,-30.09,2.26,16.26,5.12
171,286.15,26.0,6786.9389,2.97284569899,12.8847349468,-1953.4407409,0.26354,-8.5,34.37,-23.08,1.47,12.76,11.42
172,307.65,29.0,10263.7311,2.04596896115,17.9813941203,-2191.22471232,0.2659,-8.21,38.7,-25.58,1.63,14.75,12.92
173,360.95,32.0,11754.3057,2.20595639803,14.385368069,-2428.99030687,0.26603,-8.69,42.64,-27.6,1.75,16.8,14.12
174,386.15,38.0,18780.9617,1.92435103606,19.5540703998,-2904.54826781,0.27087,-8.49,49.95,-31.86,1.98,20.07,16.34
175,306.65,23.0,6709.6947,2.75277913571,16.2503428792,-1715.66148838,0.26604,-8.2,32.02,-21.39,1.39,12.02,10.65
176,283.15,20.0,5125.3291,2.64260425528,18.028125727,-1477.88620045,0.26331,-8.84,28.55,-19.35,1.3,10.49,9.66
177,338.15,29.0,9720.2661,2.14998883253,13.9210324175,-2191.21710501,0.26715,-8.1,38.51,-25.36,1.61,14.75,12.79
178,403.15,44.0,25989.7897,2.13846396509,14.3892055778,-3380.10322056,0.27059,-8.91,57.85,-36.14,2.24,23.96,18.8
179,393.15,41.0,23566.2409,2.83522752173,21.5750396688,-3142.32067739,0.2629,-9.66,53.05,-34.08,2.09,21.07,17.3
180,372.25,35.0,15869.8933,2.12822144759,17.092317337,-2666.77046281,0.26789,-8.28,46.18,-29.75,1.86,18.29,15.14
181,330.65,44.0,20039.0026,4.76632599074,10.2314985838,-2839.03132704,0.27383,-11.82,52.95,-34.63,2.28,20.6,13.36
182,378.15,30.0,10519.532,3.55678487542,18.9892014011,-2130.06208457,0.20708,-15.11,39.73,-25.99,1.69,15.42,12.9
183,319.35,33.0,9452.7649,3.16885876934,17.4977417757,-2156.51135561,0.29354,-7.44,40.68,-26.82,1.74,15.6,11.93
184,365.85,39.0,16845.4111,2.33736735239,11.8963638419,-2632.06407555,0.28171,-7.26,48.77,-31.07,2.0,19.69,14.28
185,344.15,34.0,14562.7521,1.47497837611,11.0177262409,-2591.51795688,0.21835,-5.61,45.82,-29.03,1.81,18.6,14.97
186,365.65,31.0,10951.3606,2.30416240313,7.9693689173,-2192.41812572,0.3155,-9.38,40.44,-26.56,1.71,15.59,12.1
187,381.15,38.0,6874.8217,5.64520246935,11.2774769275,-1282.066004,0.22487,-15.67,40.93,-27.69,2.12,15.36,4.07
188,327.15,37.0,7850.8331,3.68685056654,17.3029101682,-1272.1764398,0.22083,-13.66,43.58,-27.13,2.1,18.55,7.88
189,439.15,40.0,8231.1361,4.66414155553,14.6541985533,-1283.30891076,0.2261,-14.24,42.58,-28.63,2.17,16.12,5.57
190,298.15,39.0,9523.9452,4.47875939742,14.7246933601,-1816.90274942,0.21979,-15.21,45.55,-30.3,2.36,17.6,4.61
191,167.15,8.0,779.1935,1.83922637541,4.04247369688,-837.135202721,0.31996,-4.42,15.02,-10.95,0.91,4.98,3.68
192,313.75,8.0,4567.144,0.24280856657,0.488459783401,-2116.62533075,0.26662,-1.2,19.87,-14.86,1.19,6.21,2.94
193,238.15,8.0,3425.1287,0.182262283537,1.6501558684,-1756.27665361,0.28384,-1.01,18.84,-13.86,1.1,6.08,3.47
194,179.15,8.0,1316.9776,0.16005611516,0.925738856266,-1395.93082491,0.32515,-0.85,17.72,-12.77,1.0,5.95,4.05
195,173.75,8.0,2359.2025,0.0613238126669,0.96538742482,-1035.59025273,0.33731,-0.74,16.54,-11.64,0.89,5.79,4.66
196,125.15,11.0,1524.5891,0.0843483254131,0.183015627748,-913.026069666,0.42056,-0.8,19.08,-12.9,0.9,7.07,6.46
197,258.15,12.0,1674.0156,1.85327387075,10.0461457346,-591.286345423,0.33968,-9.18,17.55,-12.44,0.99,6.11,4.87
198,140.15,10.0,1831.658,0.658507236103,3.34764962922,-1148.89637121,0.21032,-2.78,19.35,-13.42,1.02,6.95,5.83
199,233.05,12.0,2887.5452,0.000173205080757,0.730237379213,-951.069962776,0.30011,-2.23,20.17,-13.61,0.94,7.5,6.73
200,131.15,6.0,776.4997,0.0,1.88562687454,-475.494738527,0.28394,-0.85,12.85,-8.8,0.71,4.76,5.2
201,117.15,9.0,2462.331,0.998017424698,3.60062802022,-713.296831966,0.26594,-1.64,16.98,-11.59,0.86,6.25,6.18
